winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
STANLEY K KIPTIS,BARINGO,JP,873,892,72.73,134711,14,185216,3436,232258
JOYCE CHERONO LABOSO,BOMET,JP,724,728,67.2,175932,2,261795,5240,322012
WYCLIFFE WAFULA WANGAMATI,BUNGOMA,FORD-KENYA,1158,1186,48.2,197651,37,410031,8146,559850
SOSPETERS ODEKE OJAAMONG,BUSIA,ODM,753,760,49.48,134845,58,272513,5486,351048
ALEX TANUI TOLGOS,ELGEYO/MARAKWET,JP,525,529,59.72,86421,10,144718,1016,180664
MARTIN NYAGA WAMBORA,EMBU,JP,709,710,38.97,97544,38,250327,5805,309468
ALI  BUNOW KORANE,GARISSA,JP,354,381,51.76,55968,5,108124,3493,163350
CYPRIAN ARCHELIUS OTIENO AWITI,HOMA BAY,ODM,1028,1062,52.34,203359,13,388498,4136,476875
MOHAMED ABDI KUTI,ISIOLO,IND,187,195,41.19,21139,3,51315,856,75338
JOSEPH JAMA OLE LENKU,KAJIADO,JP,767,797,53.89,169327,225,314204,4903,411193
WYCLIFFE AMBETSA OPARANYAH,KAKAMEGA,ODM,1467,1497,70.55,383053,356,542958,9641,743736
PAUL KIPRONO CHEPKWONY,KERICHO,JP,758,780,95.23,279508,5,293501,3726,375668
FERDINARD NDUNGU WAITITU BABAYAO,KIAMBU,JP,1941,1963,78.16,759074,546,971215,11472,1180920
AMASON JEFFAH KINGI,KILIFI,ODM,964,988,67.16,213497,10,317893,4807,508068
ANNE MUMBI WAIGURU,KIRINYAGA,JP,651,659,54.09,159606,1,295071,6507,349836
JAMES ELVIS OMARIBA ONGWAE,KISII,ODM,1100,1126,51.22,201859,293,394131,7898,546580
PETER ANYANG' NYONG'O,KISUMU,ODM,988,1027,63.01,264168,20,419275,6823,539210
CHARITY KALUKI NGILU,KITUI,NARC,1437,1454,47.24,167765,24,355109,4839,474512
SALIM MVURYA MGALA,KWALE,JP,590,612,65.23,115614,2,177238,2747,281041
NDIRITU MURIITHI,LAIKIPIA,IND,531,531,50.5,100342,7,198691,1220,246487
FAHIM YASIN TWAHA,LAMU,JP,167,167,46.57,22969,48,49324,776,69776
ALFRED NGANGA MUTUA,MACHAKOS,MCCP,1325,1332,53.2,248366,6,466840,7184,620254
KIVUTHA KIBWANA,MAKUENI,WDM-K,1052,1060,87.75,288648,0,328957,3705,423310
ALI IBRAHIM ROBA,MANDERA,JP,375,401,53.41,68459,8,128165,1794,175642
MOHAMUD MOHAMED ALI,MARSABIT,JP,384,384,50.72,56142,1,110685,2417,141708
KIRAITU MURUNGI,MERU,JP,1458,1473,51.93,278383,451,536038,12393,702480
ZAKARIA OKOTH OBADO,MIGORI,ODM,803,826,62.63,195264,12,311771,4217,388633
HASSAN ALI JOHO,MOMBASA,ODM,931,934,64.91,220576,24,339821,5606,580223
WA-IRIA MWANGI,MURANG'A,JP,1130,1131,68.99,349288,409,506297,8202,587126
MIKE SONKO MBUVI GIDION KIOKO,NAIROBI CITY,JP,3272,3378,53.58,845193,599,1577421,21590,2250853
LEE MAIYANI KINYAJUI,NAKURU,JP,1757,1806,84.5,615425,4,728308,11188,949618
STEPHEN KIPYEGO SANG,NANDI,JP,782,796,91.24,241858,48,265066,4560,346007
SAMUEL KUNTAI TUNAI,NAROK,JP,737,750,52.2,144383,519,276586,5646,341730
JOHN OBIERO NYAGARAMA,NYAMIRA,ODM,525,553,31.58,61298,461,194128,3747,278853
FRANCIS THUITA KIMEMIA,NYANDARUA,JP,650,654,79.35,227226,11,286361,4632,335634
PATRICK WAHOME GAKURU,NYERI,JP,915,917,72.7,284777,8,391732,8486,456949
MOSES KASAINIE LENOLKULAL,SAMBURU,JP,282,284,63.35,40095,0,63295,1114,82787
CORNEL RASANGA AMOTH,SIAYA,ODM,898,916,51.8,192376,522,371350,3335,457953
GRANTON GRAHAM SAMBOJA,TAITA TAVETA,WDM-K,342,354,36.22,39252,5,108370,2087,155716
DHADHO GADDAE GODHANA,TANA RIVER,ODM,304,307,29.58,25663,14,86746,1866,118327
ONESMUS MUTHOMI NJUKI,THARAKA - NITHI,JP,614,625,69.02,117558,21,170314,2701,213154
PATRICK SIMIYU E S KHAEMBA,TRANS NZOIA,FORD-KENYA,614,639,55.13,130150,25,236099,4011,339622
JOSPHAT KOLI NANOK,TURKANA,ODM,617,644,58.21,73232,9,125804,3044,191435
JACKSON KIPLAGAT MANDAGO,UASIN GISHU,JP,846,868,57.16,190056,335,332492,3853,450055
WILBER KHASILWA OTTICHILO,VIHIGA,ODM,529,548,41.46,80569,6,194311,3128,272409
MOHAMED ABDI MAHAMUD,WAJIR,JP,429,434,41.44,48907,33,118012,3145,162902
JOHN KROP LONYANG'APUO,WEST POKOT,KANU,691,712,57.78,84679,2,146544,4072,180232
